,Date,NCases
0,2011-04-12,4
1,2011-04-13,5
2,2011-04-14,17
3,2011-04-15,8
4,2011-04-16,10
5,2011-04-17,6
6,2011-04-18,9
7,2011-04-19,20
8,2011-04-20,20
9,2011-04-21,5
10,2011-04-22,9
11,2011-04-23,8
12,2011-04-24,26
13,2011-04-25,14
14,2011-04-26,9
15,2011-04-27,17
16,2011-04-28,22
17,2011-04-29,12
18,2011-04-30,13
19,2011-05-01,19
20,2011-05-02,17
21,2011-05-03,13
22,2011-05-04,14
23,2011-05-05,26
24,2011-05-06,24
25,2011-05-07,24
26,2011-05-08,22
27,2011-05-09,34
28,2011-05-10,34
29,2011-05-11,20
30,2011-05-12,19
31,2011-05-13,25
32,2011-05-14,18
33,2011-05-15,23
34,2011-05-16,22
35,2011-05-17,20
36,2011-05-18,20
37,2011-05-19,14
38,2011-05-20,23
39,2011-05-21,21
40,2011-05-22,22
41,2011-05-23,18
42,2011-05-24,9
43,2011-05-25,11
44,2011-05-26,19
45,2011-05-27,5
46,2011-05-28,18
47,2011-05-29,18
48,2011-05-30,15
49,2011-05-31,14
50,2011-06-01,16
51,2011-06-02,25
52,2011-06-03,13
53,2011-06-04,25
54,2011-06-05,24
55,2011-06-06,12
56,2011-06-07,13
57,2011-06-08,12
58,2011-06-09,15
59,2011-06-10,10
60,2011-06-11,20
61,2011-06-12,13
62,2011-06-13,15
63,2011-06-14,15
64,2011-06-15,16
65,2011-06-16,18
66,2011-06-17,10
67,2011-06-18,11
68,2011-06-19,11
69,2011-06-20,13
70,2011-06-21,14
71,2011-06-22,7
72,2011-06-23,14
73,2011-06-24,13
74,2011-06-25,8
75,2011-06-26,12
76,2011-06-27,10
77,2011-06-28,16
78,2011-06-29,19
79,2011-06-30,12
80,2011-07-01,13
81,2011-07-02,16
82,2011-07-03,17
83,2011-07-04,24
84,2011-07-05,10
85,2011-07-06,9
86,2011-07-07,13
87,2011-07-08,17
88,2011-07-09,14
89,2011-07-10,18
90,2011-07-11,14
91,2011-07-12,16
92,2011-07-13,17
93,2011-07-14,12
94,2011-07-15,6
95,2011-07-16,12
96,2011-07-17,25
97,2011-07-18,14
98,2011-07-19,17
99,2011-07-20,11
100,2011-07-21,12
101,2011-07-22,15
102,2011-07-23,18
103,2011-07-24,11
104,2011-07-25,12
105,2011-07-26,12
106,2011-07-27,18
107,2011-07-28,10
108,2011-07-29,20
109,2011-07-30,24
110,2011-07-31,11
111,2011-08-01,16
112,2011-08-02,16
113,2011-08-03,19
114,2011-08-04,13
115,2011-08-05,16
116,2011-08-06,11
117,2011-08-07,6
118,2011-08-08,15
119,2011-08-09,15
120,2011-08-10,18
121,2011-08-11,14
122,2011-08-12,13
123,2011-08-13,23
124,2011-08-14,22
125,2011-08-15,17
126,2011-08-16,12
127,2011-08-17,15
128,2011-08-18,30
129,2011-08-19,24
130,2011-08-20,32
131,2011-08-21,44
132,2011-08-22,34
133,2011-08-23,41
134,2011-08-24,60
135,2011-08-25,65
136,2011-08-26,74
137,2011-08-27,44
138,2011-08-28,92
139,2011-08-29,64
140,2011-08-30,65
141,2011-08-31,70
142,2011-09-01,60
143,2011-09-02,46
144,2011-09-03,60
145,2011-09-04,50
146,2011-09-05,52
147,2011-09-06,51
148,2011-09-07,51
149,2011-09-08,41
150,2011-09-09,46
151,2011-09-10,42
152,2011-09-11,46
153,2011-09-12,38
154,2011-09-13,37
155,2011-09-14,54
156,2011-09-15,29
157,2011-09-16,50
158,2011-09-17,37
159,2011-09-18,38
160,2011-09-19,36
161,2011-09-20,27
162,2011-09-21,31
163,2011-09-22,29
164,2011-09-23,28
165,2011-09-24,32
166,2011-09-25,29
167,2011-09-26,35
168,2011-09-27,29
169,2011-09-28,26
170,2011-09-29,25
171,2011-09-30,28
172,2011-10-01,36
173,2011-10-02,23
174,2011-10-03,19
175,2011-10-04,11
176,2011-10-05,18
177,2011-10-06,16
178,2011-10-07,15
179,2011-10-08,21
180,2011-10-09,19
181,2011-10-10,19
182,2011-10-11,19
183,2011-10-12,15
184,2011-10-13,12
185,2011-10-14,10
186,2011-10-15,12
187,2011-10-16,16
188,2011-10-17,10
189,2011-10-18,10
190,2011-10-19,3
191,2011-10-20,1
192,2011-10-21,6
193,2011-10-22,6
194,2011-10-23,16
195,2011-10-24,5
196,2011-10-25,7
197,2011-10-26,6
198,2011-10-27,4
199,2011-10-28,0
200,2011-10-29,5
201,2011-10-30,3
202,2011-10-31,6
203,2011-11-01,4
204,2011-11-02,2
205,2011-11-03,2
206,2011-11-04,5
207,2011-11-05,1
208,2011-11-06,3
209,2011-11-07,9
210,2011-11-08,9
211,2011-11-09,2
212,2011-11-10,7
213,2011-11-11,3
214,2011-11-12,0
215,2011-11-13,1
216,2011-11-14,3
217,2011-11-15,3
218,2011-11-16,7
219,2011-11-17,1
220,2011-11-18,1
221,2011-11-19,4
222,2011-11-20,2
223,2011-11-21,0
224,2011-11-22,0
225,2011-11-23,2
226,2011-11-24,0
227,2011-11-25,1
228,2011-11-26,1
229,2011-11-27,0
230,2011-11-28,1
231,2011-11-29,1
